"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002449","lymphocyte mediated immunity","143/2389","339/18842",0.421828908554572,3.3269570092027,16.4742114223327,1.29994710828215e-42,7.13401993242405e-39,7.13401993242405e-39,"IGKC/IGHE/RNF168/KIR2DL4/HMCES/FUT7/TLR8/IGHV4-61/HLA-DRA/IGHD/CD1B/IGHV3-48/CD2/CD40LG/IGHV4-4/HAVCR2/IGHV3-53/CD7/SERPINB4/IGHV6-1/IGHV3-64D/CD27/IGHV1-69/SH2D1B/FCRLB/RAET1G/FCER1A/IGHV1-58/CD55/IL18/CSF2RB/TRAF2/RAET1E/IGHA2/SLAMF6/SLAMF7/ARRB2/MSH6/C5/AZGP1/CLEC2A/HLA-A/HLA-F/IGHV3-15/HLA-DRB1/IGHV3-33/IL2RG/IGHV2-26/SLAMF1/IGLC7/IL12B/IGHV1-69-2/IGLC3/HLA-C/BATF/HLA-G/RAET1L/C8G/CD1C/IGHV3-38/C4BPB/CD1E/KLRC1/BTLA/TNFRSF1B/CRTAM/IGHG2/NCKAP1L/C17orf99/IGHV1-3/HCST/IGHV3-73/IGHV4-28/MICA/KLRF2/IGHV2-70D/IGHV3-74/IGHV3-21/IGHV3-11/IGHV1-45/IGHV3-13/KLRC2/CD1A/IGHV3-49/CARD9/FCMR/IGHV5-51/CD274/JAG1/IGHA1/IGHV4-59/PRF1/BTK/C3/IL2RB/NECTIN4/PIK3CB/IL12RB1/IL18R1/IGHV3-23/IGHV3-7/RASGRP1/IGLC2/NCR3/IGHV7-4-1/IGHV4-34/CALHM6/CTSH/HLA-E/IGHV3-72/MR1/FCGR2B/B2M/PTPRC/IGHV1-69D/IGHV3-20/IGHV2-70/KLRC4-KLRK1/IGHV3-66/SUPT6H/ULBP2/IGHG4/IGHV2-5/KLRK1/BTN3A3/IGHV1-18/KLRB1/MYO1G/IGHV4-39/IGHV3-35/IL21R/IGHG1/CD70/TNFRSF14/CD40/HLA-B/IGHV3-30/SECTM1/C2/HLA-H/IL9R/IGHV1-24/MAPK3",143
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","152/2389","377/18842",0.403183023872679,3.17989725232692,16.2918177771694,2.42653739198097e-42,7.13401993242405e-39,7.13401993242405e-39,"IGKC/NFKBID/IGHE/RNF168/TNFAIP3/CLEC7A/HMCES/IL18RAP/FUT7/TLR8/IGHV4-61/CXCL13/HLA-DRA/IGHD/CD1B/IRF4/JUNB/IGHV3-48/CD40LG/IL1RL1/IGHV4-4/HAVCR2/IGHV3-53/CD7/IGHV6-1/IGHV3-64D/CD27/IGHV1-69/FCRLB/SPN/RAET1G/FCER1A/IL6R/IGHV1-58/CD55/PSMB2/IL18/CSF2RB/TRAF2/RAET1E/IGHA2/RORA/SLAMF6/MSH6/C5/IL33/CRACR2A/AZGP1/HLA-A/HLA-F/IGHV3-15/HLA-DRB1/IGHV3-33/IL2RG/IGHV2-26/SLAMF1/IGLC7/IL12B/IGHV1-69-2/IGLC3/HLA-C/BATF/HLA-G/RAET1L/C8G/CD1C/IGHV3-38/JAK1/C4BPB/CD1E/KLRC1/BTLA/TNFRSF1B/IGHG2/PSMB9/NCKAP1L/C17orf99/IGHV1-3/IGHV3-73/IGHV4-28/MICA/PSMB10/IGHV2-70D/IGHV3-74/IGHV3-21/IGHV3-11/IGHV1-45/IGHV3-13/CD1A/IGHV3-49/IL12RB2/CARD9/FCMR/IGHV5-51/CD274/JAG1/IGHA1/IGHV4-59/PRF1/ZC3H12A/BTK/C3/IL2RB/IL12RB1/IL18R1/IGHV3-23/IGHV3-7/IGLC2/IL17RA/IGHV7-4-1/IGHV4-34/STAT3/CTSH/LY9/NLRP10/HLA-E/IGHV3-72/MR1/STAT5A/SEMA4A/FCGR2B/B2M/PTPRC/IGHV1-69D/IGHV3-20/IGHV2-70/IGHV3-66/SUPT6H/ULBP2/IGHG4/KLHL6/IGHV2-5/BTN3A3/IGHV1-18/MYO1G/IGHV4-39/IGHV3-35/IL21R/IGHG1/CD70/TNFRSF14/CD40/HLA-B/STAT4/IGHV3-30/SECTM1/C2/ANXA1/HLA-H/IL9R/IGHV1-24/MAPK3",152
"GO:0002443","leukocyte mediated immunity","164/2389","429/18842",0.382284382284382,3.01507004227808,16.0877021398551,4.51950146518027e-42,8.85822287175333e-39,8.85822287175333e-39,"IGKC/IGHE/RNF168/UNC13D/CLEC7A/KIR2DL4/HMCES/FUT7/TLR8/IGHV4-61/HLA-DRA/IGHD/MILR1/CD1B/IGHV3-48/BST2/CD2/CD40LG/IGHV4-4/CTSG/HAVCR2/IGHV3-53/CD7/SERPINB4/IGHV6-1/IGHV3-64D/CD27/IGHV1-69/SH2D1B/FCRLB/RAET1G/FCER1A/IL6R/IGHV1-58/CD55/IL18/CSF2RB/TRAF2/RAET1E/IGHA2/SLC18A2/SLAMF6/SLAMF7/ARRB2/NOD2/MSH6/C5/AZGP1/CLEC2A/HLA-A/HLA-F/IGHV3-15/HLA-DRB1/IGHV3-33/IL2RG/IGHV2-26/SLAMF1/IGLC7/IL12B/IGHV1-69-2/CD177/DNASE1L3/IGLC3/HLA-C/BATF/HLA-G/RAET1L/C8G/RAC2/CD1C/IGHV3-38/C4BPB/VAMP8/CD1E/KLRC1/BTLA/TNFRSF1B/CRTAM/IGHG2/NCKAP1L/C17orf99/IGHV1-3/HCST/IGHV3-73/FGR/ITGAM/IGHV4-28/MICA/KLRF2/IGHV2-70D/IGHV3-74/IGHV3-21/IGHV3-11/IGHV1-45/IGHV3-13/KLRC2/CD1A/IGHV3-49/CARD9/FCMR/IGHV5-51/CD274/JAG1/IGHA1/IGHV4-59/PRF1/BTK/C3/IL2RB/NECTIN4/PIK3CB/ADGRE2/IL12RB1/IL18R1/IGHV3-23/IGHV3-7/RASGRP1/IGLC2/NCR3/IGHV7-4-1/IGHV4-34/CD300A/CALHM6/CTSH/HLA-E/IGHV3-72/MR1/FCGR2B/B2M/PTPRC/IGHV1-69D/IGHV3-20/IGHV2-70/KLRC4-KLRK1/IGHV3-66/SUPT6H/ULBP2/IGHG4/IGHV2-5/KLRK1/BTN3A3/IGHV1-18/KLRB1/MYO1G/IGHV4-39/IGHV3-35/IL21R/IGHG1/NOS2/CD70/TNFRSF14/CD40/HLA-B/PIK3CD/IGHV3-30/SECTM1/C2/RAB44/ICAM1/HLA-H/IL9R/IGHV1-24/MAPK3/F2RL1",164
"GO:0019724","B cell mediated immunity","81/2389","177/18842",0.457627118644068,3.60929684784074,13.2902645676795,1.6004532734129e-27,2.35266631191697e-24,2.35266631191697e-24,"IGKC/IGHE/RNF168/HMCES/TLR8/IGHV4-61/IGHD/IGHV3-48/CD40LG/IGHV4-4/IGHV3-53/IGHV6-1/IGHV3-64D/CD27/IGHV1-69/FCRLB/FCER1A/IGHV1-58/CD55/CSF2RB/IGHA2/MSH6/C5/IGHV3-15/IGHV3-33/IL2RG/IGHV2-26/IGLC7/IGHV1-69-2/IGLC3/BATF/HLA-G/C8G/IGHV3-38/C4BPB/IGHG2/C17orf99/IGHV1-3/IGHV3-73/IGHV4-28/IGHV2-70D/IGHV3-74/IGHV3-21/IGHV3-11/IGHV1-45/IGHV3-13/IGHV3-49/CARD9/FCMR/IGHV5-51/IGHA1/IGHV4-59/BTK/C3/IL2RB/IGHV3-23/IGHV3-7/IGLC2/IGHV7-4-1/IGHV4-34/HLA-E/IGHV3-72/FCGR2B/IGHV1-69D/IGHV3-20/IGHV2-70/IGHV3-66/SUPT6H/IGHG4/IGHV2-5/IGHV1-18/IGHV4-39/IGHV3-35/IL21R/IGHG1/CD70/CD40/IGHV3-30/C2/IL9R/IGHV1-24",81
"GO:0016064","immunoglobulin mediated immune response","78/2389","172/18842",0.453488372093023,3.57665462828662,12.9355761048054,3.14028931731419e-26,3.69298023716148e-23,3.69298023716149e-23,"IGKC/IGHE/RNF168/HMCES/TLR8/IGHV4-61/IGHD/IGHV3-48/CD40LG/IGHV4-4/IGHV3-53/IGHV6-1/IGHV3-64D/CD27/IGHV1-69/FCRLB/FCER1A/IGHV1-58/CD55/CSF2RB/IGHA2/MSH6/C5/IGHV3-15/IGHV3-33/IL2RG/IGHV2-26/IGLC7/IGHV1-69-2/IGLC3/BATF/C8G/IGHV3-38/C4BPB/IGHG2/C17orf99/IGHV1-3/IGHV3-73/IGHV4-28/IGHV2-70D/IGHV3-74/IGHV3-21/IGHV3-11/IGHV1-45/IGHV3-13/IGHV3-49/CARD9/FCMR/IGHV5-51/IGHA1/IGHV4-59/BTK/C3/IL2RB/IGHV3-23/IGHV3-7/IGLC2/IGHV7-4-1/IGHV4-34/HLA-E/IGHV3-72/FCGR2B/IGHV1-69D/IGHV3-20/IGHV2-70/IGHV3-66/SUPT6H/IGHG4/IGHV2-5/IGHV1-18/IGHV4-39/IGHV3-35/IL21R/IGHG1/IGHV3-30/C2/IL9R/IGHV1-24",78
"GO:0001819","positive regulation of cytokine production","149/2389","499/18842",0.298597194388778,2.35503069764477,11.6896558281639,7.14902215986231e-25,7.00604171666507e-22,7.00604171666507e-22,"IRAK3/RNF135/NMB/CD86/HLA-DPA1/TRIM56/CLEC7A/KIR2DL4/PTGER4/POU2AF1/IL18RAP/NFAM1/TLR8/LILRA2/IGHD/BRCA1/ZBTB7B/IRF4/SMAD3/TRIM15/LTB/CD2/FRMD8/CD40LG/LBP/IL1RL1/P2RX7/HAVCR2/CD7/TRIM65/TRAF3IP3/IL17REL/IL15/BCL10/SPN/RAET1G/IL6R/IL20RB/SERPINE1/CD55/PSMB2/HPSE/IL18/TNF/TRAF2/RORA/IFNGR1/SLAMF6/NOD2/CYBB/UCN/OAS3/C5/IL33/HLA-A/HLA-F/PTPN22/CLEC5A/CRLF2/OAS1/SLAMF1/IFI16/IL12B/IL36B/F3/SPHK1/BATF/HLA-G/TRIM16/IL1A/PYCARD/CRTAM/CLEC12A/CGAS/TMIGD2/PSMB9/CHI3L1/IL1RAP/HSPA1A/CD244/FGR/TLR2/KLRF2/TRADD/PSMB10/IL16/IL32/CSF2/CCR7/STAT1/IRF1/TRPV4/TLR6/MAPK13/IL12RB2/CARD9/CD274/HK1/BTK/HMSD/C3/IL4R/CD6/MEFV/HLA-DPB1/NOD1/IL12RB1/IRF5/IL18R1/PTGS2/IL17RA/STAT3/LY9/RAB7B/NLRP10/HLA-E/ADAM8/IL1RL2/FERMT1/IL36A/FCGR2B/B2M/PTPRC/CCDC88B/DUOX1/AIM2/IL36G/CASP1/RIPK1/RIOK3/MAPK11/MMP12/DHX58/SAA1/NOS2/TNFRSF14/IL7/PIK3CD/INAVA/JAK2/IFIH1/TLR1/SECTM1/SULF2/ANXA1/PSEN1/STING1/SERPINB7/F2RL1",149
"GO:0045088","regulation of innate immune response","133/2389","482/18842",0.275933609958506,2.17628341516876,9.96865704976931,5.37410093197255e-19,4.51424478285695e-16,4.51424478285694e-16,"IRAK3/IFNK/RNF135/TNFAIP3/TRIM56/CLEC7A/KIR2DL4/LILRA4/SRC/TLR8/CCL5/LILRA2/TRIM15/LBP/ERAP1/TNIP1/P2RX7/IRF2/HAVCR2/TRIM31/SERPINB4/TRIM65/TRAF3IP3/CD300H/SH2D1B/BCL10/GRN/RAET1G/IFI35/TYRO3/DDX60/S100A8/TNIP3/RNF185/PPT1/KCNK6/TNF/TRAF2/RAET1E/PIM1/SLAMF6/ARRB2/NOD2/NLRC3/OAS3/N4BP1/HLA-A/HLA-F/PTPN22/TIFAB/GBP2/PTPN6/OAS1/IFI16/IL12B/NR1H2/FPR2/HLA-C/HLA-G/NMI/TLR10/MUL1/USP15/KLRC1/PYCARD/CRTAM/NFKBIA/SMPDL3A/CGAS/CD300C/HSPA1A/FGR/TLR2/MICA/IRF1/RNF39/BRCC3/KLRC2/TLR6/CD274/BIRC3/DCST1/BTK/C3/OTULIN/PARP9/SARM1/IRAK2/ZBP1/NECTIN4/MEFV/NOD1/IRF5/RASGRP1/NR1D1/NCR3/TRAFD1/CTSS/CD300A/CALHM6/RAB7B/NLRP10/HLA-E/ADAM8/MNDA/S100A14/FCGR2B/B2M/CD300LF/CYLD/KLRC4-KLRK1/AIM2/CASP1/GFI1/KLRK1/SLC15A3/PARP14/KLRB1/RIOK3/MMP12/DHX58/EGFR/HLA-B/INAVA/PYHIN1/IFIH1/TLR1/NLRC5/ZNFX1/BPIFB1/STING1/F2RL1/PLSCR1",133
"GO:0001906","cell killing","82/2389","238/18842",0.34453781512605,2.71736354650692,10.1597975505638,2.6505659582988e-18,1.94816597934962e-15,1.94816597934962e-15,"IGHE/KIR2DL4/CXCL13/HLA-DRA/CD1B/CD2/CTSG/HAVCR2/SERPINB4/CCL17/RAET1G/CD55/CXCL2/RAET1E/SLAMF6/SLAMF7/ARRB2/S100A12/C5/AZGP1/CLEC2A/HLA-A/HLA-F/NTS/GBP2/HLA-DRB1/HMGN2/IL12B/DNASE1L3/HLA-C/HLA-G/RAET1L/C8G/CD1C/GZMA/CD1E/KLRC1/GBP3/CXCL10/CRTAM/NCKAP1L/HCST/DEFB4A/ITGAM/MICA/KLRF2/RNASE7/LYZ/KLRC2/CD1A/CD59/PRF1/H2BC11/PGLYRP3/CCL22/PPBP/NECTIN4/PIK3CB/CXCL11/RAB27A/IL12RB1/RASGRP1/NCR3/CCL20/LCE3A/CTSH/HLA-E/MR1/FCGR2B/KNG1/PTPRC/KLRC4-KLRK1/ULBP2/KLRK1/KLRB1/PGLYRP4/IGHG1/NOS2/HLA-B/ICAM1/HLA-H/F2RL1",82
"GO:0008544","epidermis development","92/2389","287/18842",0.320557491289199,2.52823116403143,9.94115903414701,5.26753182995732e-18,3.44145412890545e-15,3.44145412890545e-15,"SPRR2B/LIPK/SPRR2G/KRT77/KPLCE/PLEC/BNC1/SPRR2E/KRT78/KRT3/IL20/ALOX12B/AQP3/KRT1/NTF4/KRT86/ALOXE3/KRT80/EPHA2/CNFN/TGM5/GJB5/HPSE/FLG/IL18/TNF/KRT75/FOXN1/KRT9/KAZN/TGM1/SULT2B1/SPRR2D/CYSRT1/HLA-DRB1/CYP27B1/CSTA/ATP2A2/KRT79/TRIM16/LAMC2/STS/KRTDAP/RHBDF2/GATA6/KRT81/SLC39A2/GRHL1/KRT7/LIPN/HOXB13/TRADD/PLA2G10/HES1/LCE1B/PI3/LCE3D/LAMA3/ABCA12/JAG1/COL7A1/KLK7/CLDN1/SCEL/KLK14/CALML5/SLC44A4/S100A7/SPRR2F/KRT17/VDR/SPINK5/PRKCH/KLK5/PPL/LCE3A/LCE1E/FERMT1/KRT84/ZBED2/ANKRD24/LAMB3/KRT10/CASP14/TMEM79/DSC1/KRT34/LCE1C/LCE3E/ANXA1/KRT4/EVPL",92
"GO:0050863","regulation of T cell activation","104/2389","346/18842",0.300578034682081,2.37065354938458,9.80537791836352,6.29318412747998e-18,3.70039226695823e-15,3.70039226695823e-15,"DLG5/NFKBID/CD86/HLA-DPA1/HLA-DQB1/SRC/CCL5/HLA-DOA/HLA-DRA/HLA-DQA1/ZBTB7B/IRF4/JUNB/ZNF683/CD2/CD40LG/CTSG/HAVCR2/CD27/IL15/SPN/PDCD1LG2/PLA2G2F/CD55/PSMB2/IL18/TYK2/SFTPD/FOXN1/TNFSF14/NOD2/LGALS9B/CD47/HLA-A/PTPN22/PTPN6/HLA-DRB1/NCK1/IL2RG/SLAMF1/IL12B/IL36B/BATF/HLA-G/RAC2/IL1A/HLA-DRB5/LAX1/PYCARD/BTLA/ICOS/TNFRSF1B/CRTAM/TMIGD2/PSMB9/LGALS9C/NCKAP1L/CAV1/HLA-DQB2/DUSP3/PSMB10/CCR7/IRF1/ILDR2/IL12RB2/SIRPG/TESPA1/CD274/ZC3H12A/TNFSF9/VSIR/SIRPB1/CD6/HLA-DPB1/RUNX3/IL12RB1/SPINK5/RASGRP1/CD300A/HLA-E/ADAM8/STAT5A/CDKN2A/B2M/PTPRC/HLA-DOB/RHOH/KLRC4-KLRK1/CCDC88B/HLA-DQA2/FCHO1/PRNP/CD3E/VNN1/KLRK1/SDC4/CD70/TNFRSF14/IL7R/IL7/PIK3CD/JAK2/ANXA1/ARID1A",104
"GO:0019882","antigen processing and presentation","49/2389","104/18842",0.471153846153846,3.71598190424059,10.5832590150635,7.5973172384342e-18,3.86708610741991e-15,3.86708610741991e-15,"ERAP2/IGHE/HLA-DPA1/HLA-DQB1/HLA-DOA/HLA-DRA/HLA-DQA1/CD1B/ERAP1/RAET1G/RAET1E/NOD2/AZGP1/TAPBPL/HLA-A/HLA-F/HLA-DRB1/RAB32/HLA-C/HLA-G/RAET1L/CD1C/CTSE/HLA-DRB5/CD1E/PYCARD/HLA-DQB2/PSMB10/CCR7/CD1A/CD68/RAB8B/RAB35/HLA-DPB1/NOD1/RAB27A/TAP1/CTSS/CTSH/HLA-E/MR1/FCGR2B/B2M/HLA-DOB/HLA-DQA2/ULBP2/TAP2/HLA-B/HLA-H",49
"GO:0002697","regulation of immune effector process","104/2389","347/18842",0.29971181556196,2.36382169477541,9.77085717401292,7.89201246412227e-18,3.86708610741991e-15,3.86708610741991e-15,"IRAK3/TMBIM6/NFKBID/CD86/UNC13D/CLEC7A/KIR2DL4/HMCES/FUT7/HLA-DRA/CD1B/JUNB/BST2/LBP/HAVCR2/CD7/SERPINB4/SH2D1B/BCL10/GRN/RAET1G/DDX60/CD55/IL18/TNF/TRAF2/RAET1E/SLAMF6/ARRB2/NOD2/IL33/AZGP1/HLA-A/HLA-F/PTPN6/HLA-DRB1/SLAMF1/IL12B/CD177/DNASE1L3/HLA-C/BATF/HLA-G/RAET1L/RAC2/CD1C/C4BPB/VAMP8/CD1E/KLRC1/BTLA/TNFRSF1B/CRTAM/NCKAP1L/C17orf99/CD244/FGR/ITGAM/MICA/KLRC2/CD1A/CD59/CD274/MYO18A/HK1/ZC3H12A/BTK/C3/NECTIN4/ADGRE2/MZB1/IL12RB1/IRF5/IL18R1/SPINK5/RASGRP1/NCR3/CD300A/CALHM6/HLA-E/MR1/STAT5A/FCGR2B/B2M/PTPRC/KLRC4-KLRK1/SUPT6H/ULBP2/KLRK1/KLRB1/DHX58/CFB/NOS2/SASH3/TNFRSF14/HLA-B/INAVA/SECTM1/C2/ICAM1/ANXA1/HLA-H/MAPK3/F2RL1",104
"GO:0007159","leukocyte cell-cell adhesion","114/2389","402/18842",0.283582089552239,2.2366068360583,9.5499635057491,2.07230318953522e-17,9.37318673420547e-15,9.37318673420547e-15,"DLG5/NFKBID/CD86/HLA-DPA1/HLA-DQB1/SRC/FUT7/CCL5/HLA-DOA/HLA-DRA/HLA-DQA1/ZBTB7B/CD40LG/TNIP1/CTSG/ICAM3/HAVCR2/CD27/IL15/SPN/PDCD1LG2/PLA2G2F/S100A8/CD55/PSMB2/OLR1/IL18/TYK2/TNF/SFTPD/TNFSF14/NOD2/LGALS9B/CD47/HLA-A/PTPN22/ITGB7/PTPN6/HLA-DRB1/NCK1/IL2RG/SLAMF1/IL12B/IL36B/CD177/HLA-G/ASS1/RAC2/IL1A/HLA-DRB5/LAX1/PYCARD/ADTRP/BTLA/ICOS/CRTAM/TMIGD2/PSMB9/LGALS9C/NCKAP1L/CAV1/HLA-DQB2/ITGAM/DUSP3/PSMB10/CCR7/IRF1/ILDR2/F11R/IL12RB2/SIRPG/TESPA1/CD274/ZC3H12A/TNFSF9/VSIR/SIRPB1/SELPLG/PPARA/CD6/HLA-DPB1/RUNX3/IL12RB1/CHST4/ALOX5/RASGRP1/CD300A/HLA-E/ADAM8/STAT5A/CDKN2A/B2M/PTPRC/HLA-DOB/RHOH/EZR/KLRC4-KLRK1/CCDC88B/HLA-DQA2/FCHO1/PRNP/CD3E/VNN1/KLRK1/SDC4/CD70/TNFRSF14/IL7R/IL7/PIK3CD/JAK2/ICAM1/ANXA1/ARID1A",114
"GO:0031341","regulation of cell killing","47/2389","99/18842",0.474747474747475,3.74432478827623,10.4320834849782,2.42999393758124e-17,1.02059745378412e-14,1.02059745378412e-14,"KIR2DL4/HLA-DRA/CD1B/HAVCR2/SERPINB4/RAET1G/CD55/RAET1E/SLAMF6/ARRB2/AZGP1/HLA-A/HLA-F/HLA-DRB1/IL12B/DNASE1L3/HLA-C/HLA-G/RAET1L/CD1C/CD1E/KLRC1/CRTAM/NCKAP1L/ITGAM/MICA/KLRC2/CD1A/CD59/PRF1/NECTIN4/IL12RB1/RASGRP1/NCR3/HLA-E/MR1/FCGR2B/PTPRC/KLRC4-KLRK1/ULBP2/KLRK1/KLRB1/NOS2/HLA-B/ICAM1/HLA-H/F2RL1",47
"GO:0001910","regulation of leukocyte mediated cytotoxicity","44/2389","89/18842",0.49438202247191,3.89918211277343,10.4465436636497,3.62405836692978e-17,1.42063087983647e-14,1.42063087983647e-14,"KIR2DL4/HLA-DRA/CD1B/HAVCR2/SERPINB4/RAET1G/RAET1E/SLAMF6/ARRB2/AZGP1/HLA-A/HLA-F/HLA-DRB1/IL12B/DNASE1L3/HLA-C/HLA-G/RAET1L/CD1C/CD1E/KLRC1/CRTAM/NCKAP1L/ITGAM/MICA/KLRC2/CD1A/NECTIN4/IL12RB1/RASGRP1/NCR3/HLA-E/MR1/FCGR2B/PTPRC/KLRC4-KLRK1/ULBP2/KLRK1/KLRB1/NOS2/HLA-B/ICAM1/HLA-H/F2RL1",44
"GO:0002768","immune response-regulating cell surface receptor signaling pathway","111/2389","392/18842",0.283163265306122,2.23330357676767,9.40269480915288,6.20669409485039e-17,2.28096007985752e-14,2.28096007985752e-14,"IGKC/NFKBID/CD86/IGHE/HLA-DQB1/TNFAIP3/CLEC7A/KIR2DL4/LILRA4/SRC/BLK/GCSAM/NFAM1/LILRA2/IGHD/GCSAML/ZNF683/LBP/BCL10/IFI35/FCER1A/PDCD1LG2/TNIP3/CD38/IGHA2/TRBC1/CLEC2A/CD47/HLA-A/PTPN22/CLEC2B/PTPN6/HLA-DRB1/OAS1/NCK1/IGLC7/FPR2/IGLC3/HLA-G/KIR2DS4/CD3G/NMI/NFKB1/PIGR/KLRC1/LAX1/BTLA/NFKBIA/IGHG2/NCKAP1L/LAIR2/CD79A/FGR/PIK3CA/ITGAM/TLR2/CD3D/DUSP3/PRKCB/LPXN/ERMAP/CCR7/FYB1/KLRC2/TLR6/FCMR/TESPA1/CD274/IGHA1/ZC3H12A/BTK/KCNN4/C3/IRAK2/CD200R1/HLA-DPB1/UBASH3A/NR1D1/PRKCH/NCR3/FPR1/CD300A/TRBC2/RAB7B/CD247/MNDA/IGHM/S100A14/TRGC2/FCGR2B/PTPRC/EZR/FCHO1/IGHG4/PRNP/CD3E/KLHL6/LILRB3/MS4A1/BTN3A3/MYO1G/IGHG1/NOS2/TNFRSF14/CD40/PIK3CD/TLR1/BPIFB1/SIVA1/F2RL1/PLSCR1",111
"GO:0002703","regulation of leukocyte mediated immunity","75/2389","219/18842",0.342465753424658,2.70102123316341,9.64815943119251,1.08347013947686e-16,3.7475320118376e-14,3.7475320118376e-14,"UNC13D/CLEC7A/KIR2DL4/HMCES/FUT7/HLA-DRA/CD1B/BST2/HAVCR2/CD7/SERPINB4/SH2D1B/RAET1G/CD55/IL18/TRAF2/RAET1E/SLAMF6/ARRB2/NOD2/AZGP1/HLA-A/HLA-F/HLA-DRB1/SLAMF1/IL12B/CD177/DNASE1L3/HLA-C/HLA-G/RAET1L/RAC2/CD1C/C4BPB/VAMP8/CD1E/KLRC1/BTLA/TNFRSF1B/CRTAM/NCKAP1L/C17orf99/FGR/ITGAM/MICA/KLRC2/CD1A/CD274/BTK/NECTIN4/ADGRE2/IL12RB1/IL18R1/RASGRP1/NCR3/CD300A/CALHM6/HLA-E/MR1/FCGR2B/B2M/PTPRC/KLRC4-KLRK1/SUPT6H/ULBP2/KLRK1/KLRB1/NOS2/TNFRSF14/HLA-B/SECTM1/ICAM1/HLA-H/MAPK3/F2RL1",75
"GO:0051249","regulation of lymphocyte activation","122/2389","453/18842",0.269315673289183,2.12408786777513,9.22800467639524,1.23896520275832e-16,4.04728632901051e-14,4.04728632901051e-14,"DLG5/NFKBID/CD86/HLA-DPA1/HLA-DQB1/TNFAIP3/CLEC7A/HMCES/SRC/NFAM1/CCL5/HLA-DOA/HLA-DRA/HLA-DQA1/ZBTB7B/IRF4/JUNB/ZNF683/CD2/CD40LG/CTSG/HAVCR2/CD27/IL15/SPN/PDCD1LG2/PLA2G2F/CD38/CD55/PSMB2/IL18/TYK2/SFTPD/FOXN1/TNFSF14/NOD2/LGALS9B/CD47/HLA-A/PTPN22/PTPN6/HLA-DRB1/NCK1/IL2RG/SLAMF1/IL12B/IL36B/BATF/HLA-G/RAC2/IL1A/HLA-DRB5/KLRC1/LAX1/PYCARD/BTLA/ICOS/TNFRSF1B/CRTAM/CLEC12A/TMIGD2/PSMB9/LGALS9C/NCKAP1L/CAV1/HLA-DQB2/FGR/DUSP3/MICA/FLT3LG/PSMB10/CCR7/IRF1/ILDR2/KLRC2/IL12RB2/SIRPG/TESPA1/CD274/ZC3H12A/BTK/TNFSF9/VSIR/SIRPB1/CD6/HLA-DPB1/MZB1/RUNX3/IL12RB1/SPINK5/RASGRP1/CD300A/HLA-E/ADAM8/STAT5A/MNDA/CDKN2A/SAMSN1/FCGR2B/B2M/PTPRC/HLA-DOB/RHOH/KLRC4-KLRK1/CCDC88B/HLA-DQA2/FCHO1/SUPT6H/PRNP/CD3E/VNN1/KLRK1/SDC4/SASH3/CD70/TNFRSF14/IL7R/IL7/PIK3CD/JAK2/ANXA1/ARID1A",122
"GO:0001909","leukocyte mediated cytotoxicity","55/2389","134/18842",0.41044776119403,3.23719410482123,9.9032988672827,1.62733874903583e-16,5.03618518122667e-14,5.03618518122667e-14,"IGHE/KIR2DL4/HLA-DRA/CD1B/CD2/CTSG/HAVCR2/SERPINB4/RAET1G/RAET1E/SLAMF6/SLAMF7/ARRB2/AZGP1/CLEC2A/HLA-A/HLA-F/HLA-DRB1/IL12B/DNASE1L3/HLA-C/HLA-G/RAET1L/CD1C/CD1E/KLRC1/CRTAM/NCKAP1L/HCST/ITGAM/MICA/KLRF2/KLRC2/CD1A/PRF1/NECTIN4/PIK3CB/IL12RB1/RASGRP1/NCR3/CTSH/HLA-E/MR1/FCGR2B/PTPRC/KLRC4-KLRK1/ULBP2/KLRK1/KLRB1/IGHG1/NOS2/HLA-B/ICAM1/HLA-H/F2RL1",55
"GO:0002429","immune response-activating cell surface receptor signaling pathway","99/2389","336/18842",0.294642857142857,2.32384291096095,9.33012183185754,1.73960182028015e-16,5.11442935162364e-14,5.11442935162364e-14,"IGKC/NFKBID/CD86/IGHE/HLA-DQB1/TNFAIP3/CLEC7A/SRC/BLK/GCSAM/NFAM1/LILRA2/IGHD/GCSAML/ZNF683/LBP/BCL10/IFI35/PDCD1LG2/TNIP3/CD38/IGHA2/TRBC1/CLEC2A/CD47/HLA-A/PTPN22/CLEC2B/PTPN6/HLA-DRB1/OAS1/NCK1/IGLC7/FPR2/IGLC3/CD3G/NMI/NFKB1/KLRC1/LAX1/NFKBIA/IGHG2/NCKAP1L/CD79A/FGR/PIK3CA/ITGAM/TLR2/CD3D/DUSP3/PRKCB/LPXN/ERMAP/CCR7/FYB1/KLRC2/TLR6/FCMR/TESPA1/CD274/IGHA1/ZC3H12A/BTK/KCNN4/C3/IRAK2/HLA-DPB1/UBASH3A/NR1D1/PRKCH/NCR3/FPR1/CD300A/TRBC2/RAB7B/CD247/MNDA/IGHM/S100A14/TRGC2/FCGR2B/PTPRC/EZR/FCHO1/IGHG4/PRNP/CD3E/KLHL6/MS4A1/BTN3A3/MYO1G/IGHG1/NOS2/PIK3CD/TLR1/BPIFB1/SIVA1/F2RL1/PLSCR1",99
